trial,in_mask,out_mask,count_zero,prob,abs_bias,z,exceeds_threshold,timestamp
419,3d51e000ac90b5a85ece32d28ba8fd13,b1a477fb4f146c2fbc93e44e883dc354,25005,0.500100,0.000100,+0.045,0,2026-07-07T10:16:35
420,75d7019fab4a326c31155a1521803002,c6a054a89f19ca43f2be97d39eb5288b,25067,0.501340,0.001340,+0.599,0,2026-07-07T10:16:35
421,c44bd9c3b27c5e4f0bc1bf2e42066281,f7a1c79125cb85a2a3a22c9a6b7aa809,25087,0.501740,0.001740,+0.778,0,2026-07-07T10:16:36
422,d86783431f6fbd1cbd54846bb066d0e8,de2873dc766c35aabfa9019b0bc9f19d,25144,0.502880,0.002880,+1.288,0,2026-07-07T10:16:37
423,28d843367d35829da4b2f1efad2f9f59,464037fbbe11e6555390bed5d31c379b,25085,0.501700,0.001700,+0.760,0,2026-07-07T10:16:37
424,8ac2d7eac2fd9fc68490fd5dc948db67,ed733c879bd1807bf19cd13ce8d8dea0,25048,0.500960,0.000960,+0.429,0,2026-07-07T10:16:38
425,16eb6671a8ab84d50312afa9e06c7bd3,dcc5badf90cb46284da9971d178a6c76,25194,0.503880,0.003880,+1.735,0,2026-07-07T10:16:39
426,e828910bd64d5069bed36dbdd86f79f6,1cc9aae08a2b38ccf7df041ec0c98fd9,24907,0.498140,0.001860,-0.832,0,2026-07-07T10:16:39
427,6045e950287b52683339b3748a3888d4,222b40519655c828536169a28d538a2c,24819,0.496380,0.003620,-1.619,0,2026-07-07T10:16:40
428,410d87a34822c5b87ea5fdca6d96d60a,7f9dc5c4c385f26ccf7fd755ad29d06c,25078,0.501560,0.001560,+0.698,0,2026-07-07T10:16:41
429,d9919ae15f0148169cb4b983fed7f2d9,814da80fd37db1547b42df3f1aabc1cf,25098,0.501960,0.001960,+0.877,0,2026-07-07T10:16:41
430,5bd8b0850327827963eed27613a955e0,753aea27955014b1a5a64f3ff5800bc7,25015,0.500300,0.000300,+0.134,0,2026-07-07T10:16:42
431,3c521ae2d72bd03598c930f82dd6c6af,5f9557e12da74e5622e10c7f9b1062d3,24965,0.499300,0.000700,-0.313,0,2026-07-07T10:16:43
432,c0217cb4f13cd5f826d239ceb28cf61d,d3c6153fef723651d0ff1db3815a2d2f,25009,0.500180,0.000180,+0.080,0,2026-07-07T10:16:43
433,4016390363c0f2b59175b9b357712735,ce5ebea6ee5c616df8d174120e783f37,25093,0.501860,0.001860,+0.832,0,2026-07-07T10:16:44
434,cac8e262666354a3d2e05414f54a05d9,57d5ea26af7f6820fa98e25eae9d18f2,25203,0.504060,0.004060,+1.816,0,2026-07-07T10:16:45
435,3239acfbc9b5e000e62cf11b7e36e4d0,c1ef42dbd139bf8a8c2042d2684df160,24905,0.498100,0.001900,-0.850,0,2026-07-07T10:16:45
436,feef5985f0c46ccdd24ab87230a75a58,a9013159bef228576a246ac5a5e6b822,25068,0.501360,0.001360,+0.608,0,2026-07-07T10:16:46
437,4bf346b487edc1dce9c8a45d6c064d26,c70387957855d923dc86718722424a35,25138,0.502760,0.002760,+1.234,0,2026-07-07T10:16:46
438,a46b96c54c0ef5ca4dd30d112e8c52ed,fdfbd6d0fe239a3cf0a470678f7e706f,24913,0.498260,0.001740,-0.778,0,2026-07-07T10:16:47
439,807346a11b31770f973f80b23d78ffe7,7669bed56911db162db7e5ed2e8d2e34,25141,0.502820,0.002820,+1.261,0,2026-07-07T10:16:47
440,f0224d32344441f1e206b488b55ad25a,60377dd13f6f62418dc8691a2828548d,24931,0.498620,0.001380,-0.617,0,2026-07-07T10:16:48
441,63aa9313c08ba101183841cab731ba36,e26f27a8d6a2aadd0db86ffa7cce540c,24850,0.497000,0.003000,-1.342,0,2026-07-07T10:16:48
442,7dbab20ec1f3a68d017cc732adccb3b2,652138fa50f5e4eb7f0fdfa1744fb73c,25084,0.501680,0.001680,+0.751,0,2026-07-07T10:16:49
443,506ad9aca70f372815f4cde65b7fff2e,2453dd0aea6220d2f7bd8725bf45de47,24944,0.498880,0.001120,-0.501,0,2026-07-07T10:16:49
444,cbebd64f38cff091d0fcc93e704a0319,6ef8a97dde6c75f85d4abd7216d6ae34,25151,0.503020,0.003020,+1.351,0,2026-07-07T10:16:50
445,e4a681e9d45507e0d28201a49866f406,2c0b595516ee6179e144f97e9042b298,24777,0.495540,0.004460,-1.995,0,2026-07-07T10:16:51
446,7d824be9bd6191177e24516602117033,2268fb0e219f6957fad0b956a8bd3d6e,24979,0.499580,0.000420,-0.188,0,2026-07-07T10:16:51
447,e0a8f80f3bfe793e99a0b21c57b345e7,e6e969694cb85abf5d24a6a4ea649c0f,24921,0.498420,0.001580,-0.707,0,2026-07-07T10:16:52
448,4c22084991b0c513bb973bf9341bc712,0b1015e68e1609a74cd6d3bab72e813d,25172,0.503440,0.003440,+1.538,0,2026-07-07T10:16:52
449,409edd6c5404f203295e15a4653a0385,b36b0d27ff67f1bc23a0cc697dae4ae1,24989,0.499780,0.000220,-0.098,0,2026-07-07T10:16:53
450,2ac4eeddc9c04a14157ed4d57e6f2abd,66083093d95fd2939ae92533c699c60c,24887,0.497740,0.002260,-1.011,0,2026-07-07T10:16:54
451,eeb2889a805780d3dd0ccbbfa7b682da,8ffac987bb58d087b8239752d44b8ee2,24662,0.493240,0.006760,-3.023,1,2026-07-07T10:16:54
452,df4767b944f820df5220649a1ed56f61,54eda980b8c2d7e6a12a41febd677009,24998,0.499960,0.000040,-0.018,0,2026-07-07T10:16:55
453,54621ffd21927060e3c8ef66fbf9fcda,3f6057f296a171346fbdfbbfb4c8d575,24980,0.499600,0.000400,-0.179,0,2026-07-07T10:16:55
454,c5a71af645cc70263d4e0fe31151645d,9621120cb4e5f674d23f58d0b5e193d7,24960,0.499200,0.000800,-0.358,0,2026-07-07T10:16:56
455,059c78a3255876c5e7378af3d7087111,03928302470822fe9e42a3f2182f6d74,24892,0.497840,0.002160,-0.966,0,2026-07-07T10:16:56
456,4b2fb042cd14da13daefb3d9996e9894,492274e8284c0454d6ea2603ea3a6309,25043,0.500860,0.000860,+0.385,0,2026-07-07T10:16:57
457,a7f7374632a3e5d4251a177bf44e615e,27a52810055cfc7f3c075e7bc4ff431d,24927,0.498540,0.001460,-0.653,0,2026-07-07T10:16:58
458,3871174acd42a18f6e7fc76284785b02,00a8b7fcad86e89a0076bf6a235e4fa7,25025,0.500500,0.000500,+0.224,0,2026-07-07T10:16:58
459,3a7e720c2f52e03ab9d2ff39747d88bb,42887c4486a607d61cae840429ad2372,25103,0.502060,0.002060,+0.921,0,2026-07-07T10:16:59
460,ee3e3eb2927bb35f434292e0114cc285,db7b89f2ef91081a364236d63fe19820,24750,0.495000,0.005000,-2.236,1,2026-07-07T10:16:59
461,52abd2996f54233d836411f0715fa92e,952c359783060168c9b95bb8090f4813,24981,0.499620,0.000380,-0.170,0,2026-07-07T10:17:00
462,f14ac38a7c7f91a035f38ce64530d57d,d5241c7030f02f8cf8d8ad2962be11c2,24917,0.498340,0.001660,-0.742,0,2026-07-07T10:17:00
463,e212c4a63e703af3703c576d716f447a,bb40a163e4ced44f0f0b6eddefe56595,25043,0.500860,0.000860,+0.385,0,2026-07-07T10:17:01
464,aef054579d9fabe7afe25824777a261a,817c099e2d3b5c20b80c57ae881c59d4,25109,0.502180,0.002180,+0.975,0,2026-07-07T10:17:01
465,2d42bd09906a78b19456868be0cab089,656b296a53f26a574664d13a2b6dfea3,25026,0.500520,0.000520,+0.233,0,2026-07-07T10:17:02
466,7727081b033814344a7289b7f00772ce,339397408a52224b77c71efd0b67d2b2,24953,0.499060,0.000940,-0.420,0,2026-07-07T10:17:02
467,4647261cac72255e8817bab1a7cff8a4,1352c2ee2c0812f7227ce92967833479,25096,0.501920,0.001920,+0.859,0,2026-07-07T10:17:03
